"original_family","original_name","name_in_Flora","original_ID","final_family","scientificName","taxonID","vernacular_names","notes","tax_notes","notes_fam","nome_especie","establishmentMeans","occurrenceRemarks","location","lifeForm","vegetationType","habitat","GTSearch"
"Euphorbiaceae","Actinostemon roselii L. Oliveira, A.L. Melo & M.F. Sales","Actinostemon roselii L. Oliveira, A.L. Melo & M.F. Sales",603401,"Euphorbiaceae","Actinostemon roselii L. Oliveira, A.L. Melo & M.F. Sales",603401,"Branquilho-PORTUGUES-Santa Catarina","LFB","name ok","","Actinostemon roselii","NATIVA","Endemica/Mata Atlântica","BR-SC-BR-PR","Arbusto-Árvore","Floresta Ombrófila (= Floresta Pluvial)-Floresta Ombrófila Mista","Terrícola",
"Euphorbiaceae","Algernonia brasiliensis Baill.","Algernonia brasiliensis Baill.",35658,"Euphorbiaceae","Algernonia brasiliensis Baill.",35658,,"LFB","name ok","","Algernonia brasiliensis","NATIVA","Endemica/Mata Atlântica","BR-SP-BR-RJ","Arbusto-Árvore","Floresta Ombrófila (= Floresta Pluvial)","Terrícola","sim"
"Euphorbiaceae","Algernonia riedelii (Müll.Arg.) G.L.Webster","Algernonia riedelii (Müll.Arg.) G.L.Webster",35667,"Euphorbiaceae","Algernonia riedelii (Müll.Arg.) G.L.Webster",35667,,"LFB","name ok","","Algernonia riedelii","NATIVA","Endemica/Mata Atlântica","BR-ES-BR-SP-BR-RJ","Árvore","Floresta Ombrófila (= Floresta Pluvial)","Terrícola","sim"
"Euphorbiaceae","Croton alchorneicarpus Croizat","Croton alchorneicarpus Croizat",35760,"Euphorbiaceae","Croton alchorneicarpus Croizat",35760,,"LFB","name ok","","Croton alchorneicarpus","NATIVA","Endemica/Mata Atlântica","BR-SP-BR-RJ-BR-MG","Árvore","Floresta Ombrófila (= Floresta Pluvial)-Floresta Ombrófila Mista","Terrícola","sim"
"Euphorbiaceae","Croton hemiargyreus Müll.Arg.","Croton hemiargyreus Müll.Arg.",17518,"Euphorbiaceae","Croton hemiargyreus Müll.Arg.",17518,,"LFB","name ok","","Croton hemiargyreus","NATIVA","Endemica/Mata Atlântica","BR-SP-BR-RJ-BR-MG-BR-PE","Árvore-Subarbusto","Floresta Ombrófila (= Floresta Pluvial)","Terrícola","sim"
"Euphorbiaceae","Croton sacaquinha Croizat","Croton sacaquinha Croizat",35921,"Euphorbiaceae","Croton sacaquinha Croizat",35921,"Sacaquinha-PORTUGUES-Norte","LFB","name ok","","Croton sacaquinha","NATIVA","Endemica/Amazônia","BR-MT-BR-PA-BR-AM","Arbusto-Árvore","Floresta Ciliar ou Galeria-Floresta de Igapó","Terrícola","sim"
"Euphorbiaceae","Croton vulnerarius Baill.","Croton vulnerarius Baill.",35971,"Euphorbiaceae","Croton vulnerarius Baill.",35971,,"LFB","name ok","","Croton vulnerarius","NATIVA","Endemica/Mata Atlântica","BR-SP-BR-RJ-BR-MG-BR-PR","Arbusto-Árvore","Floresta Estacional Semidecidual-Floresta Ombrófila (= Floresta Pluvial)","Terrícola","sim"
"Euphorbiaceae","Gymnanthes gaudichaudii Müll. Arg.","Gymnanthes gaudichaudii Müll. Arg.",25530,"Euphorbiaceae","Gymnanthes gaudichaudii Müll. Arg.",25530,"Inguiço-PORTUGUES-Nordeste","LFB","name ok","","Gymnanthes gaudichaudii","NATIVA","Endemica/Mata Atlântica","BR-ES-BR-MG-BR-SP-BR-RJ-BR-BA","Arbusto-Árvore","Floresta Ombrófila Mista-Restinga","Terrícola","sim"
"Euphorbiaceae","Joannesia heveoides Ducke","Joannesia heveoides Ducke",36120,"Euphorbiaceae","Joannesia heveoides Ducke",36120,"'castanha-de-arara'-PORTUGUES-Norte/AM","LFB","name ok","","Joannesia heveoides","NATIVA","Endemica/Amazônia","BR-PA-BR-AM","Árvore","Floresta de Terra Firme","Terrícola","sim"
"Euphorbiaceae","Mabea glaziovii Pax & K.Hoffm.","Mabea glaziovii Pax & K.Hoffm.",17588,"Euphorbiaceae","Mabea glaziovii Pax & K.Hoffm.",17588,,"LFB","name ok","","Mabea glaziovii","NATIVA","Endemica/Caatinga-Endemica/Mata Atlântica","BR-MG-BR-BA-BR-SE","Arbusto-Árvore","Caatinga (stricto sensu)-Floresta Ombrófila (= Floresta Pluvial)","Terrícola","sim"
"Euphorbiaceae","Sapium sellowianum (Müll.Arg.) Huber","Sapium sellowianum (Müll.Arg.) Huber",17666,"Euphorbiaceae","Sapium sellowianum (Müll.Arg.) Huber",17666,,"LFB","name ok","","Sapium sellowianum","NATIVA","Endemica/Mata Atlântica","BR-RJ-BR-SP","Arbusto-Árvore","Floresta Ombrófila (= Floresta Pluvial)","Terrícola","sim"
"Euphorbiaceae","Sebastiania jacobinensis (Müll.Arg.) Müll.Arg.","Sebastiania jacobinensis (Müll.Arg.) Müll.Arg.",17677,"Euphorbiaceae","Sebastiania jacobinensis (Müll.Arg.) Müll.Arg.",17677,"Pau-de-leite-PORTUGUES-NE/Burra-leiteira-da-mata-PORTUGUES-NE/Leiteiro-PORTUGUES-NE/Leiteira-PORTUGUES-NE/Murta-PORTUGUES-NE","LFB","name ok","","Sebastiania jacobinensis","NATIVA","Endemica/Caatinga-Endemica/Mata Atlântica","BR-SE-BR-PE-BR-PB-BR-CE-BR-BA","Arbusto-Árvore","Caatinga (stricto sensu)-Floresta Estacional Decidual","Terrícola","sim"
"Euphorbiaceae","Stillingia loranthacea (Müll. Arg.) Pax","Stillingia loranthacea (Müll. Arg.) Pax",130757,"Euphorbiaceae","Stillingia loranthacea (Müll. Arg.) Pax",130757,,"LFB","name ok","","Stillingia loranthacea","NATIVA","Endemica/Caatinga","BR-BA","Arbusto-Árvore","Campo rupestre-Cerrado (lato sensu)","Rupícola-Terrícola","sim"
"Euphorbiaceae","Stillingia oppositifolia Baill. ex Müll.Arg.","Stillingia oppositifolia Baill. ex Müll.Arg.",36246,"Euphorbiaceae","Stillingia oppositifolia Baill. ex Müll.Arg.",36246,,"LFB","name ok","","Stillingia oppositifolia","NATIVA","Endemica/Mata Atlântica","BR-SP-BR-MG-BR-RS","Arbusto-Árvore","Floresta Ombrófila (= Floresta Pluvial)","Terrícola","sim"
"Euphorbiaceae","Tetrorchidium parvulum Müll. Arg.","Tetrorchidium parvulum Müll. Arg.",25576,"Euphorbiaceae","Tetrorchidium parvulum Müll. Arg.",25576,,"LFB","name ok","","Tetrorchidium parvulum","NATIVA","Endemica/Mata Atlântica","BR-RJ-BR-MG","Árvore","Floresta Ombrófila (= Floresta Pluvial)-Vegetação Sobre Afloramentos Rochosos","Terrícola","sim"
"Fabaceae","Abarema campestris (Spruce ex Benth.) Barneby & J.W.Grimes","Abarema campestris (Spruce ex Benth.) Barneby & J.W.Grimes",82545,"Fabaceae","Abarema campestris (Spruce ex Benth.) Barneby & J.W.Grimes",82545,,"LFB","name ok","","Abarema campestris","NATIVA","Endemica/Amazônia","BR-PA-BR-AM","Arbusto-Árvore","Campinarana-Floresta de Terra Firme","Terrícola","sim"
"Fabaceae","Abarema langsdorffii (Benth.) Barneby & J.W.Grimes","Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",17978,"Fabaceae","Abarema langsdorffii (Benth.) Barneby & J.W.Grimes",17978,,"LFB","name ok","","Abarema langsdorffii","NATIVA","Endemica/Cerrado-Endemica/Mata Atlântica","BR-SP-BR-RJ-BR-MG-BR-ES-BR-SC-BR-RS-BR-PR-BR-BA","Arbusto-Árvore","Campo rupestre-Cerrado (lato sensu)-Floresta Ombrófila (= Floresta Pluvial)","Terrícola","sim"
"Fabaceae","Abarema villosa Iganci & M.P.Morim","Abarema villosa Iganci & M.P.Morim",100917,"Fabaceae","Abarema villosa Iganci & M.P.Morim",100917,,"LFB","name ok","","Abarema villosa","NATIVA","Endemica/Cerrado-Endemica/Mata Atlântica","BR-RJ-BR-MG-BR-ES","Arbusto-Árvore","Floresta Estacional Semidecidual-Floresta Ombrófila (= Floresta Pluvial)","Terrícola","sim"
"Fabaceae","Acosmium lentiscifolium Schott","Acosmium lentiscifolium Schott",29405,"Fabaceae","Acosmium lentiscifolium Schott",29405,"murta-PORTUGUES-sudeste/osso-de-burro-PORTUGUES-sudeste","LFB","name ok","","Acosmium lentiscifolium","NATIVA","Endemica/Mata Atlântica","BR-RJ-BR-MG-BR-ES-BR-BA","Árvore","Floresta Estacional Decidual-Floresta Estacional Semidecidual-Floresta Ombrófila (= Floresta Pluvial)","Terrícola","sim"
"Fabaceae","Bauhinia bombaciflora Ducke","Bauhinia bombaciflora Ducke",78513,"Fabaceae","Bauhinia bombaciflora Ducke",78513,,"LFB","name ok","","Bauhinia bombaciflora","NATIVA","Endemica/Amazônia-Endemica/Cerrado","BR-MA-BR-TO-BR-PA","Arbusto-Árvore","Cerrado (lato sensu)-Floresta Ombrófila (= Floresta Pluvial)",,"sim"
"Fabaceae","Bauhinia grandifolia (Bong.) Steud.","Bauhinia grandifolia (Bong.) Steud.",82669,"Fabaceae","Bauhinia grandifolia (Bong.) Steud.",82669,,"LFB","name ok","","Bauhinia grandifolia","NATIVA","Endemica/Amazônia","BR-PA-BR-AM","Arbusto-Árvore","Área Antrópica-Floresta de Terra Firme",,"sim"
"Fabaceae","Bauhinia longipedicellata Ducke","Bauhinia longipedicellata Ducke",78523,"Fabaceae","Bauhinia longipedicellata Ducke",78523,,"LFB","name ok","","Bauhinia longipedicellata","NATIVA","Endemica/Amazônia","BR-RO-BR-PA","Arbusto-Árvore","Floresta de Terra Firme",,"sim"
"Fabaceae","Bauhinia ovata (Bong.) Vogel","Bauhinia ovata (Bong.) Vogel",100878,"Fabaceae","Bauhinia ovata (Bong.) Vogel",100878,,"LFB","name ok","","Bauhinia ovata","NATIVA","Endemica/Mata Atlântica","BR-RJ-BR-MG-BR-ES-BR-BA","Árvore","Floresta Ombrófila (= Floresta Pluvial)",,"sim"
"Fabaceae","Chamaecrista aspleniifolia (H.S.Irwin & Barneby) H.S.Irwin & Barneby","Chamaecrista aspleniifolia (H.S.Irwin & Barneby) H.S.Irwin & Barneby",18297,"Fabaceae","Chamaecrista aspleniifolia (H.S.Irwin & Barneby) H.S.Irwin & Barneby",18297,,"LFB","name ok","","Chamaecrista aspleniifolia","NATIVA","Endemica/Mata Atlântica","BR-MG-BR-ES-BR-BA","Arbusto-Árvore","Floresta Estacional Semidecidual-Floresta Ombrófila (= Floresta Pluvial)","Terrícola","sim"
"Fabaceae","Chamaecrista blanchetii (Benth.) Conc. et al.","Chamaecrista blanchetii (Benth.) Conc. et al.",105505,"Fabaceae","Chamaecrista blanchetii (Benth.) Conc. et al.",105505,,"LFB","name ok","","Chamaecrista blanchetii","NATIVA","Endemica/Cerrado-Endemica/Mata Atlântica","BR-ES-BR-MG-BR-SE-BR-BA","Arbusto-Árvore-Subarbusto","Campo rupestre-Floresta Ombrófila (= Floresta Pluvial)-Restinga","Rupícola-Terrícola","sim"
"Fabaceae","Chamaecrista brachystachya (Benth.) Conc. et al.","Chamaecrista brachystachya (Benth.) Conc. et al.",105506,"Fabaceae","Chamaecrista brachystachya (Benth.) Conc. et al.",105506,,"LFB","name ok","","Chamaecrista brachystachya","NATIVA","Endemica/Caatinga-Endemica/Cerrado","BR-MG-BR-PE-BR-BA","Arbusto-Árvore","Campo rupestre-Cerrado (lato sensu)-Restinga","Terrícola","sim"
"Fabaceae","Chamaecrista confertiformis (H.S.Irwin & Barneby) Conc. et al.","Chamaecrista confertiformis (H.S.Irwin & Barneby) Conc. et al.",105462,"Fabaceae","Chamaecrista confertiformis (H.S.Irwin & Barneby) Conc. et al.",105462,,"LFB","name ok","","Chamaecrista confertiformis","NATIVA","Endemica/Cerrado","BR-BA","Arbusto-Árvore","Campo rupestre","Rupícola-Terrícola","sim"
"Fabaceae","Chamaecrista decora (H.S.Irwin & Barneby) Conc. et al.","Chamaecrista decora (H.S.Irwin & Barneby) Conc. et al.",105507,"Fabaceae","Chamaecrista decora (H.S.Irwin & Barneby) Conc. et al.",105507,,"LFB","name ok","","Chamaecrista decora","NATIVA","Endemica/Cerrado","BR-MG","Arbusto-Árvore","Campo rupestre","Terrícola","sim"
"Fabaceae","Chamaecrista duartei (H.S.Irwin) H.S.Irwin & Barneby","Chamaecrista duartei (H.S.Irwin) H.S.Irwin & Barneby",18335,"Fabaceae","Chamaecrista duartei (H.S.Irwin) H.S.Irwin & Barneby",18335,,"LFB","name ok","","Chamaecrista duartei","NATIVA","Endemica/Mata Atlântica","BR-ES-BR-BA","Árvore","Floresta Ombrófila (= Floresta Pluvial)-Restinga","Terrícola","sim"
"Fabaceae","Chamaecrista hedysaroides (Vogel) H.S.Irwin & Barneby","Chamaecrista hedysaroides (Vogel) H.S.Irwin & Barneby",27965,"Fabaceae","Chamaecrista hedysaroides (Vogel) H.S.Irwin & Barneby",27965,,"LFB","name ok","","Chamaecrista hedysaroides","NATIVA","Endemica/Cerrado","BR-MG","Arbusto-Árvore-Subarbusto","Campo rupestre-Cerrado (lato sensu)","Terrícola","sim"
"Fabaceae","Copaifera sabulicola J.Costa & L.P.Queiroz","Copaifera sabulicola J.Costa & L.P.Queiroz",115212,"Fabaceae","Copaifera sabulicola J.Costa & L.P.Queiroz",115212,,"LFB","name ok","","Copaifera sabulicola","NATIVA","Endemica/Cerrado","BR-MG-BR-BA","Arbusto-Árvore","Cerrado (lato sensu)","Terrícola","sim"
"Fabaceae","Dalbergia acuta Benth.","Dalbergia acuta Benth.",29591,"Fabaceae","Dalbergia acuta Benth.",29591,,"LFB","name ok","","Dalbergia acuta","NATIVA","Endemica/Caatinga-Endemica/Cerrado","BR-MG-BR-BA","Arbusto-Árvore","Cerrado (lato sensu)","Terrícola","sim"
"Fabaceae","Dalbergia decipularis Rizzini & A.Mattos","Dalbergia decipularis Rizzini & A.Mattos",29594,"Fabaceae","Dalbergia decipularis Rizzini & A.Mattos",29594,,"LFB","name ok","","Dalbergia decipularis","NATIVA","Endemica/Caatinga-Endemica/Mata Atlântica","BR-CE-BR-MG-BR-ES-BR-BA","Árvore","Caatinga (stricto sensu)-Floresta Estacional Decidual-Floresta Estacional Semidecidual","Terrícola","sim"
"Fabaceae","Dalbergia glaucescens (Mart. ex Benth.) Benth.","Dalbergia glaucescens (Mart. ex Benth.) Benth.",29601,"Fabaceae","Dalbergia glaucescens (Mart. ex Benth.) Benth.",29601,,"LFB","name ok","","Dalbergia glaucescens","NATIVA","Endemica/Cerrado-Endemica/Mata Atlântica","BR-MG-BR-BA-BR-GO-BR-DF","Arbusto-Árvore","Floresta Ciliar ou Galeria-Floresta Estacional Semidecidual","Terrícola","sim"
"Fabaceae","Erythrina speciosa Andrews","Erythrina speciosa Andrews",29677,"Fabaceae","Erythrina speciosa Andrews",29677,"mulungu-do-litoral-PORTUGUES-NA","LFB","name ok","","Erythrina speciosa","NATIVA","Endemica/Cerrado-Endemica/Mata Atlântica","BR-MS-BR-PB-BR-SP-BR-RJ-BR-MG-BR-ES-BR-SC-BR-PR-BR-BA-BR-GO-BR-DF","Arbusto-Árvore","Floresta Ciliar ou Galeria-Floresta Ombrófila (= Floresta Pluvial)-Restinga","Terrícola","sim"
"Fabaceae","Exostyles venusta Schott","Exostyles venusta Schott",18577,"Fabaceae","Exostyles venusta Schott",18577,,"LFB","name ok","","Exostyles venusta","NATIVA","Endemica/Mata Atlântica","BR-SP-BR-RJ-BR-ES-BR-BA","Arbusto-Árvore","Floresta Ombrófila (= Floresta Pluvial)","Terrícola","sim"
"Fabaceae","Hymenaea altissima Ducke","Hymenaea altissima Ducke",78708,"Fabaceae","Hymenaea altissima Ducke",78708,"Jatobá-PORTUGUES-Brasil","LFB","name ok","","Hymenaea altissima","NATIVA","Endemica/Mata Atlântica","BR-ES-BR-SP-BR-RJ","Árvore","Floresta Ombrófila (= Floresta Pluvial)","Terrícola","sim"
"Fabaceae","Hymenaea aurea Y.T.Lee & Langenh.","Hymenaea aurea Y.T.Lee & Langenh.",83196,"Fabaceae","Hymenaea aurea Y.T.Lee & Langenh.",83196,"Jatobá piloso-PORTUGUES-Nordeste/Jatobá verdadeiro-PORTUGUES-Nordeste","LFB","name ok","","Hymenaea aurea","NATIVA","Endemica/Mata Atlântica","BR-BA-BR-RJ-BR-ES","Árvore","Floresta Ombrófila (= Floresta Pluvial)","Terrícola","sim"
"Fabaceae","Hymenaea fariana R.D. Ribeiro, D.B.O.S. Cardoso & H.C. Lima","Hymenaea fariana R.D. Ribeiro, D.B.O.S. Cardoso & H.C. Lima",582263,"Fabaceae","Hymenaea fariana R.D. Ribeiro, D.B.O.S. Cardoso & H.C. Lima",582263,,"LFB","name ok","","Hymenaea fariana","NATIVA","Endemica/Mata Atlântica","BR-SE-BR-ES","Arbusto-Árvore","Floresta Ombrófila (= Floresta Pluvial)-Restinga","Terrícola","sim"
"Fabaceae","Hymenaea longifolia (Benth.) I.M.Souza, Funch & L.P.Queiroz","Hymenaea longifolia (Benth.) I.M.Souza, Funch & L.P.Queiroz",132728,"Fabaceae","Hymenaea longifolia (Benth.) I.M.Souza, Funch & L.P.Queiroz",132728,,"LFB","name ok","","Hymenaea longifolia","NATIVA","Endemica/Caatinga-Endemica/Cerrado","BR-PE-BR-PI-BR-CE-BR-BA","Árvore","Caatinga (stricto sensu)-Cerrado (lato sensu)","Terrícola","sim"
"Fabaceae","Hymenolobium alagoanum Ducke","Hymenolobium alagoanum Ducke",79076,"Fabaceae","Hymenolobium alagoanum Ducke",79076,,"LFB","name ok","","Hymenolobium alagoanum","NATIVA","Endemica/Mata Atlântica","BR-ES-BR-SE-BR-PE-BR-PB-BR-BA-BR-AL","Arbusto-Árvore","Floresta Estacional Semidecidual-Restinga","Terrícola","sim"
"Fabaceae","Inga congesta T.D.Penn.","Inga congesta T.D.Penn.",18647,"Fabaceae","Inga congesta T.D.Penn.",18647,"ingá preta-PORTUGUES-Bahia","LFB","name ok","","Inga congesta","NATIVA","Endemica/Mata Atlântica","BR-RJ-BR-ES-BR-BA","Arbusto-Árvore","Área Antrópica-Floresta Ombrófila (= Floresta Pluvial)","Terrícola","sim"
"Fabaceae","Inga schinifolia Benth.","Inga schinifolia Benth.",100938,"Fabaceae","Inga schinifolia Benth.",100938,,"LFB","name ok","","Inga schinifolia","NATIVA","Endemica/Mata Atlântica","BR-SP-BR-RJ-BR-MG","Arbusto-Árvore","Floresta Estacional Decidual-Floresta Estacional Semidecidual-Floresta Ombrófila (= Floresta Pluvial)","Terrícola","sim"
"Fabaceae","Leptolobium bijugum (Spreng.) Vogel","Leptolobium bijugum (Spreng.) Vogel",101101,"Fabaceae","Leptolobium bijugum (Spreng.) Vogel",101101,"angico-do-litoral-PORTUGUES-sudeste/macanaíba-do-nativo-PORTUGUES-sudeste","LFB","name ok","","Leptolobium bijugum","NATIVA","Endemica/Mata Atlântica","BR-ES-BR-SE-BR-BA-BR-AL","Arbusto-Árvore","Restinga","Terrícola","sim"
"Fabaceae","Leptolobium brachystachyum (Benth.) Sch.Rodr. & A.M.G.Azevedo","Leptolobium brachystachyum (Benth.) Sch.Rodr. & A.M.G.Azevedo",101102,"Fabaceae","Leptolobium brachystachyum (Benth.) Sch.Rodr. & A.M.G.Azevedo",101102,,"LFB","name ok","","Leptolobium brachystachyum","NATIVA","Endemica/Cerrado","BR-MG","Arbusto-Árvore","Campo rupestre","Rupícola-Terrícola","sim"
"Fabaceae","Luetzelburgia purpurea D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima","Luetzelburgia purpurea D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima",101464,"Fabaceae","Luetzelburgia purpurea D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima",101464,"Angelim-PORTUGUES-Bahia/Sipipira-PORTUGUES-Bahia/Sucupira-PORTUGUES-Bahia","LFB","name ok","","Luetzelburgia purpurea","NATIVA","Endemica/Caatinga-Endemica/Mata Atlântica","BR-BA","Árvore","Caatinga (stricto sensu)-Floresta Estacional Decidual","Terrícola","sim"
"Fabaceae","Machaerium incorruptibile (Vell.) Benth.","Machaerium incorruptibile (Vell.) Benth.",29769,"Fabaceae","Machaerium incorruptibile (Vell.) Benth.",29769,"Jacarandá-preto-PORTUGUES-NA/Jacarandá-rosa-PORTUGUES-NA","LFB","name ok","","Machaerium incorruptibile","NATIVA","Endemica/Mata Atlântica","BR-SP-BR-RJ-BR-ES-BR-BA","Árvore","Floresta Estacional Semidecidual-Floresta Ombrófila (= Floresta Pluvial)","Terrícola","sim"
"Fabaceae","Machaerium ovalifolium Glaz. ex Rudd","Machaerium ovalifolium Glaz. ex Rudd",29777,"Fabaceae","Machaerium ovalifolium Glaz. ex Rudd",29777,"Bico-de-juriti-PORTUGUES-NA","LFB","name ok","","Machaerium ovalifolium","NATIVA","Endemica/Caatinga-Endemica/Mata Atlântica","BR-MG-BR-ES-BR-BA","Árvore","Caatinga (stricto sensu)-Floresta Estacional Semidecidual-Floresta Ombrófila (= Floresta Pluvial)","Terrícola","sim"
"Fabaceae","Macrolobium brevense Ducke","Macrolobium brevense Ducke",78723,"Fabaceae","Macrolobium brevense Ducke",78723,,"LFB","name ok","","Macrolobium brevense","NATIVA","Endemica/Amazônia","BR-PA-BR-AM","Árvore","Campinarana-Floresta de Igapó-Floresta de Terra Firme-Floresta Ombrófila (= Floresta Pluvial)","Terrícola","sim"
"Fabaceae","Macrolobium latifolium Vogel","Macrolobium latifolium Vogel",18741,"Fabaceae","Macrolobium latifolium Vogel",18741,,"LFB","name ok","","Macrolobium latifolium","NATIVA","Endemica/Mata Atlântica","BR-ES-BR-BA","Arbusto-Árvore","Floresta Estacional Semidecidual-Restinga","Terrícola","sim"
"Fabaceae","Macrolobium rigidum R.S.Cowan","Macrolobium rigidum R.S.Cowan",83364,"Fabaceae","Macrolobium rigidum R.S.Cowan",83364,,"LFB","name ok","","Macrolobium rigidum","NATIVA","Endemica/Mata Atlântica","BR-BA","Arbusto-Árvore","Restinga","Terrícola","sim"
"Fabaceae","Mimosa adenotricha Benth.","Mimosa adenotricha Benth.",31053,"Fabaceae","Mimosa adenotricha Benth.",31053,,"LFB","name ok","","Mimosa adenotricha","NATIVA","Endemica/Cerrado","BR-MG","Arbusto-Árvore","Campo rupestre-Cerrado (lato sensu)","Terrícola","sim"
"Fabaceae","Mimosa dichroa Barneby ex G.P.Lewis","Mimosa dichroa Barneby ex G.P.Lewis",18788,"Fabaceae","Mimosa dichroa Barneby ex G.P.Lewis",18788,,"LFB","name ok","","Mimosa dichroa","NATIVA","Endemica/Cerrado","BR-TO-BR-BA-BR-GO","Arbusto-Árvore","Cerrado (lato sensu)","Terrícola","sim"
"Fabaceae","Mimosa laticifera Rizzini & A.Mattos","Mimosa laticifera Rizzini & A.Mattos",78913,"Fabaceae","Mimosa laticifera Rizzini & A.Mattos",78913,"pau-de-espinho-PORTUGUES-NA/quebra-foice-PORTUGUES-NA","LFB","name ok","","Mimosa laticifera","NATIVA","Endemica/Cerrado","BR-SP-BR-MG-BR-BA-BR-MT-BR-MS-BR-GO","Arbusto-Árvore","Cerrado (lato sensu)","Terrícola","sim"
"Fabaceae","Mimosa pteridifolia Benth.","Mimosa pteridifolia Benth.",78926,"Fabaceae","Mimosa pteridifolia Benth.",78926,"Jurema-cor-de-rosa-PORTUGUES-NA/Jurema-PORTUGUES-NA/Malícia-PORTUGUES-NA","LFB","name ok","","Mimosa pteridifolia","NATIVA","Endemica/Caatinga-Endemica/Cerrado","BR-PE-BR-CE-BR-TO-BR-MG-BR-BA-BR-MT-BR-GO-BR-DF","Árvore-Subarbusto","Caatinga (stricto sensu)-Cerrado (lato sensu)-Floresta Estacional Semidecidual","Terrícola","sim"
"Fabaceae","Mimosa schomburgkii Benth.","Mimosa schomburgkii Benth.",83459,"Fabaceae","Mimosa schomburgkii Benth.",83459,"Angico-bravo-PORTUGUES-NA/Bracatinga-PORTUGUES-NA/Monjoleiro-PORTUGUES-NA/Monjolinho-PORTUGUES-NA","LFB","name ok","","Mimosa schomburgkii","NATIVA","Não endemica/Amazônia","BR-ES-BR-MG-BR-RJ-BR-PE-BR-BA-BR-PA-BR-RR-BR-AM-BR-AC","Árvore","Área Antrópica-Floresta Ciliar ou Galeria","Terrícola","sim"
"Fabaceae","Mimosa sericantha Benth.","Mimosa sericantha Benth.",18861,"Fabaceae","Mimosa sericantha Benth.",18861,,"LFB","name ok","","Mimosa sericantha","NATIVA","Endemica/Cerrado","BR-MG-BR-PI-BR-MA-BR-BA-BR-TO-BR-GO","Arbusto-Árvore","Caatinga (stricto sensu)-Cerrado (lato sensu)","Terrícola","sim"
"Fabaceae","Mora paraensis (Ducke) Ducke","Mora paraensis (Ducke) Ducke",83485,"Fabaceae","Mora paraensis (Ducke) Ducke",83485,,"LFB","name ok","","Mora paraensis","NATIVA","Endemica/Amazônia","BR-RR-BR-PA-BR-AP-BR-AM","Árvore","Floresta de Igapó-Floresta de Várzea-Floresta Ombrófila (= Floresta Pluvial)","Terrícola","sim"
"Fabaceae","Ormosia minor Vogel","Ormosia minor Vogel",101158,"Fabaceae","Ormosia minor Vogel",101158,,"LFB","name ok","","Ormosia minor","NATIVA","Endemica/Mata Atlântica","BR-SP","Árvore","Floresta Ombrófila (= Floresta Pluvial)","Terrícola","sim"
"Fabaceae","Parapiptadenia blanchetii (Benth.) Vaz & M.P.Lima","Parapiptadenia blanchetii (Benth.) Vaz & M.P.Lima",18917,"Fabaceae","Parapiptadenia blanchetii (Benth.) Vaz & M.P.Lima",18917,,"LFB","name ok","","Parapiptadenia blanchetii","NATIVA","Endemica/Caatinga-Endemica/Mata Atlântica","BR-BA","Arbusto-Árvore","Caatinga (stricto sensu)-Floresta Ciliar ou Galeria-Floresta Estacional Semidecidual-Floresta Ombrófila (= Floresta Pluvial)","Terrícola","sim"
"Fabaceae","Piptadenia macradenia Benth.","Piptadenia macradenia Benth.",31390,"Fabaceae","Piptadenia macradenia Benth.",31390,,"LFB","name ok","","Piptadenia macradenia","NATIVA","Endemica/Cerrado","BR-MG-BR-GO","Arbusto-Árvore","Cerrado (lato sensu)","Terrícola","sim"
"Fabaceae","Poecilanthe grandiflora Benth.","Poecilanthe grandiflora Benth.",18981,"Fabaceae","Poecilanthe grandiflora Benth.",18981,,"LFB","name ok","","Poecilanthe grandiflora","NATIVA","Endemica/Caatinga-Endemica/Mata Atlântica","BR-MG-BR-PE-BR-PB-BR-MA-BR-CE-BR-BA-BR-AL","Árvore","Caatinga (stricto sensu)-Floresta Ciliar ou Galeria-Floresta Estacional Decidual-Floresta Estacional Semidecidual","Terrícola","sim"
"Fabaceae","Poecilanthe itapuana G.P.Lewis","Poecilanthe itapuana G.P.Lewis",79139,"Fabaceae","Poecilanthe itapuana G.P.Lewis",79139,,"LFB","name ok","","Poecilanthe itapuana","NATIVA","Endemica/Mata Atlântica","BR-BA","Arbusto-Árvore","Floresta Ombrófila (= Floresta Pluvial)-Restinga","Terrícola","sim"
"Fabaceae","Pterodon apparicioi Pedersoli","Pterodon apparicioi Pedersoli",109402,"Fabaceae","Pterodon apparicioi Pedersoli",109402,,"LFB","name ok","","Pterodon apparicioi","NATIVA","Endemica/Cerrado-Endemica/Mata Atlântica","BR-MG","Árvore","Cerrado (lato sensu)-Floresta Ciliar ou Galeria-Floresta Estacional Semidecidual","Terrícola","sim"
"Fabaceae","Senegalia harleyi Seigler, Ebinger, & P.G. Ribeiro","Senegalia harleyi Seigler, Ebinger, & P.G. Ribeiro",133903,"Fabaceae","Senegalia harleyi Seigler, Ebinger, & P.G. Ribeiro",133903,,"LFB","name ok","","Senegalia harleyi","NATIVA","Endemica/Mata Atlântica","BR-PR-BR-MG-BR-BA","Arbusto-Árvore","Floresta Ombrófila (= Floresta Pluvial)","Terrícola","sim"
